-0.713817 -0.873368   86.26720  162.39400 59467.63000 10036.87520 2946.10280 52300.73080   20.81680 1029.48080  441.66960 1029.48080 106618.36400 309379.18640  441.66960 309379.18640 21660.14560
-0.707700 -0.899657   98.71280  194.63360 59024.61720 12815.30320 3376.67000 49490.06320   28.16160 1255.31440  476.60240 1255.31440 134755.81200 295028.39600  476.60240 295028.39600 21695.40080
-0.701086 -0.919438  112.57880  220.39560 58272.35160 15918.22680 4115.06960 46361.37760   35.43680 1451.33920  511.07040 1451.33920 164074.36160 279617.76960  511.07040 279617.76960 22729.84320
-0.694810 -0.935529  129.51200  242.65320 57158.69040 19419.07400 5211.79760 42838.27280   43.45040 1638.90200  550.63880 1638.90200 194349.98160 263477.70280  550.63880 263477.70280 24272.08080
-0.684933 -0.945367  145.44200  250.70120 55227.12840 23889.15360 7127.42960 38360.14520   48.12800 1756.96760  571.76360 1756.96760 227187.03040 245753.69400  571.76360 245753.69400 26599.99120
-0.679743 -0.957144  180.78840  254.19760 50685.83920 31159.66880 11633.37240 31086.13360   57.81280 1923.81520  628.28800 1923.81520 263462.41600 225686.81680  628.28800 225686.81680 30001.93120
-0.670386 -0.965246  225.47320  224.67280 42053.25960 42257.97680 20221.26720 20017.35040   61.26480 2003.16920  636.44200 2003.16920 294202.03360 209662.21560  636.44200 209662.21560 31133.04800
-0.669000 -0.983767  245.81320  246.14960 43224.89520 43048.25600 19029.29160 19205.59440   72.70640 2219.06920  660.00120 2219.06920 315546.36720 199873.47080  660.00120 199873.47080 28875.84400
-0.661378 -0.999283  256.93280  255.42800 44145.52640 44313.44320 18097.54080 17931.12880   77.35600 2354.12000  642.68880 2354.12000 338761.30000 189638.39760  642.68880 189638.39760 25890.93120
-0.655725 -1.018253  271.89520  271.12720 45381.94600 45364.16520 16846.15880 16864.70760   86.10560 2542.10280  629.92600 2542.10280 363042.60160 178891.96280  629.92600 178891.96280 22743.30960
-0.648900 -1.037026  284.06360  284.41040 46540.21680 46543.38080 15675.71960 15672.20880   93.15360 2711.43480  606.25560 2711.43480 387895.47280 167894.67800  606.25560 167894.67800 19586.63680
-0.637238 -1.051562  283.22240  284.19640 47732.92880 47712.77960 14483.84880 14503.02400   91.78320 2761.89520  550.83440 2761.89520 413147.29120 156765.06400  550.83440 156765.06400 16605.33840
-0.635378 -1.076121  310.75000  310.66680 48883.86280 48870.06840 13305.38720 13319.26480  109.03680 3074.92120  544.54280 3074.92120 438087.92400 145360.74200  544.54280 145360.74200 13842.62720
-0.629280 -1.097341  325.19800  325.85680 50056.74400 50043.85080 12118.05800 12130.29240  117.41360 3277.68560  511.22960 3277.68560 463662.29440 133663.58880  511.22960 133663.58880 11315.28400
-0.621778 -1.117730  334.78400  334.87320 51226.81880 51208.93160 10938.39720 10956.19520  123.24560 3428.53320  466.16440 3428.53320 489363.67760 121822.29160  466.16440 121822.29160 9079.09840
-0.619300 -1.144238  361.27800  361.07600 52394.98800 52366.47960 9743.73400 9772.44440  140.63840 3753.87560  439.61000 3753.87560 515239.26480 109575.66520  439.61000 109575.66520 7081.79520
-0.613622 -1.169027  377.99960  378.01720 53554.20400 53551.68760 8567.79640 8570.29520  150.65760 3988.31160  397.13160 3988.31160 541579.30000 97067.73800  397.13160 97067.73800 5363.68000
-0.609213 -1.196885  397.94400  397.63840 54710.49720 54718.17280 7391.55880 7384.18880  164.86240 4255.48360  353.14840 4255.48360 567918.74160 84397.79480  353.14840 84397.79480 3903.54240
-0.604588 -1.229072  418.34200  419.89400 55935.47560 55932.81080 6146.18240 6147.29520  179.00480 4548.01880  302.39240 4548.01880 595839.31360 70822.38600  302.39240 70822.38600 2636.08720
-0.601856 -1.265562  447.14560  447.26480 57090.21720 57088.49680 4962.63720 4964.23840  201.88000 4909.14520  255.43720 4909.14520 622540.21200 57622.92680  255.43720 57622.92680 1682.88960
-0.600740 -1.309911  481.63160  482.37800 58228.44320 58227.82680 3789.92520 3789.79520  229.72400 5349.31080  205.02280 5349.31080 649073.25840 44315.05080  205.02280 44315.05080  958.24880
-0.595075 -1.362351  496.72200  497.28360 59400.84920 59400.89400 2602.42880 2601.82240  240.05040 5581.64400  142.33920 5581.64400 676585.35920 30643.45600  142.33920 30643.45600  439.71200
