-0.62 -0.105791 0.500
-0.615 -0.10248 0.500
-0.61 -0.098788 0.500
-0.605 -0.097412 0.500
-0.6 -0.092619 0.500
-0.595 -0.090278 0.500
-0.59 -0.086161 0.500
-0.585 -0.082801 0.500
-0.58 -0.080842 0.500
-0.575 -0.077004 0.500
-0.57 -0.07298 0.500
-0.565 -0.0696715 0.500
-0.56 -0.0662765 0.500
-0.555 -0.062349 0.500
-0.55 -0.0588505 0.500
-0.545 -0.055661 0.500
-0.54 -0.0518905 0.500
-0.535 -0.048132 0.500
-0.53 -0.0442465 0.500
-0.525 -0.040846 0.500
-0.52 -0.0369023 0.500
-0.515 -0.033071 0.500
-0.51 -0.029355 0.500
-0.505 -0.02528 0.500
-0.5 -0.0213497 0.500
-0.49 -0.013464 0.500
-0.48 -0.005555 0.500
-0.47 0.002765 0.500
-0.465 0.006917 0.500
-0.46 0.0110453 0.500
-0.455 0.015108 0.500
-0.45 0.0195123 0.500
-0.44 0.028109 0.500
-0.43 0.0367647 0.500
-0.42 0.045682 0.500
-0.41 0.0546485 0.500
-0.4 0.0634768 0.500
-0.39 0.072545 0.500
-0.38 0.0818093 0.500
-0.375 0.086285 0.500
-0.37 0.0909867 0.500
-0.36 0.100347 0.500
-0.35 0.109627 0.500
-0.34 0.1191 0.500
-0.33 0.12861 0.500
-0.325 0.1333 0.500
-0.32 0.138122 0.500
-0.31 0.148017 0.500
-0.3 0.157622 0.500
-0.275 0.181601 0.500
-0.25 0.206027 0.500
-0.225 0.2305 0.500
-0.2 0.255207 0.500
-0.175 0.279911 0.500
-0.15 0.304783 0.500
-0.125 0.329651 0.500
-0.1 0.354521 0.500
-0.075 0.379426 0.500
-0.05 0.404372 0.500
-0.025 0.429389 0.500
0 0.454272 0.500

-0.625 -0.113783 0.550
-0.62 -0.110639 0.550
-0.615 -0.10743 0.550
-0.61 -0.103968 0.550
-0.605 -0.100727 0.550
-0.6 -0.09704 0.550
-0.595 -0.093995 0.550
-0.59 -0.089425 0.550
-0.585 -0.087144 0.550
-0.58 -0.084036 0.550
-0.575 -0.08057 0.550
-0.57 -0.076877 0.550
-0.565 -0.0734965 0.550
-0.56 -0.0700685 0.550
-0.555 -0.0663445 0.550
-0.55 -0.0628495 0.550
-0.545 -0.059437 0.550
-0.54 -0.055684 0.550
-0.535 -0.052208 0.550
-0.53 -0.048363 0.550
-0.525 -0.044549 0.550
-0.52 -0.0410233 0.550
-0.515 -0.037136 0.550
-0.51 -0.0333853 0.550
-0.505 -0.0296135 0.550
-0.5 -0.0254847 0.550
-0.49 -0.017821 0.550
-0.48 -0.009909 0.550
-0.47 -0.00162475 0.550
-0.465 0.0025 0.550
-0.46 0.00665375 0.550
-0.455 0.010661 0.550
-0.45 0.0150495 0.550
-0.44 0.023459 0.550
-0.43 0.0320955 0.550
-0.42 0.0408397 0.550
-0.41 0.0499223 0.550
-0.4 0.058585 0.550
-0.39 0.0676563 0.550
-0.38 0.0767557 0.550
-0.375 0.0813945 0.550
-0.37 0.085904 0.550
-0.36 0.0951237 0.550
-0.35 0.104427 0.550
-0.34 0.113821 0.550
-0.33 0.123266 0.550
-0.325 0.128011 0.550
-0.32 0.132841 0.550
-0.31 0.142689 0.550
-0.3 0.152247 0.550
-0.275 0.17611 0.550
-0.25 0.200547 0.550
-0.225 0.224998 0.550
-0.2 0.249633 0.550
-0.175 0.274304 0.550
-0.15 0.299199 0.550
-0.125 0.323999 0.550
-0.1 0.348904 0.550
-0.075 0.373813 0.550
-0.05 0.398688 0.550
-0.025 0.423667 0.550
0 0.4486 0.550

-0.625 -0.128761 0.600
-0.62 -0.124237 0.600
-0.615 -0.119472 0.600
-0.61 -0.115981 0.600
-0.605 -0.111884 0.600
-0.6 -0.107846 0.600
-0.595 -0.104171 0.600
-0.59 -0.099952 0.600
-0.585 -0.096474 0.600
-0.58 -0.092638 0.600
-0.575 -0.089039 0.600
-0.57 -0.0851665 0.600
-0.565 -0.081341 0.600
-0.56 -0.077567 0.600
-0.555 -0.07403 0.600
-0.55 -0.070158 0.600
-0.545 -0.066625 0.600
-0.54 -0.0625755 0.600
-0.535 -0.058907 0.600
-0.53 -0.0551765 0.600
-0.525 -0.0513585 0.600
-0.52 -0.0475257 0.600
-0.515 -0.0437085 0.600
-0.51 -0.0397177 0.600
-0.505 -0.0358665 0.600
-0.5 -0.0318913 0.600
-0.49 -0.0239353 0.600
-0.48 -0.0159827 0.600
-0.47 -0.0077965 0.600
-0.465 -0.003775 0.600
-0.46 0.000522 0.600
-0.455 0.004466 0.600
-0.45 0.0088715 0.600
-0.44 0.0173755 0.600
-0.43 0.025973 0.600
-0.42 0.0346253 0.600
-0.41 0.043503 0.600
-0.4 0.052321 0.600
-0.39 0.0614773 0.600
-0.38 0.070501 0.600
-0.375 0.074965 0.600
-0.37 0.0796233 0.600
-0.36 0.0888513 0.600
-0.35 0.0981926 0.600
-0.34 0.107563 0.600
-0.33 0.116949 0.600
-0.325 0.121595 0.600
-0.32 0.126445 0.600
-0.31 0.136001 0.600
-0.3 0.145592 0.600
-0.275 0.169612 0.600
-0.25 0.194086 0.600
-0.225 0.218429 0.600
-0.2 0.24308 0.600
-0.175 0.267657 0.600
-0.15 0.292489 0.600
-0.125 0.317377 0.600
-0.1 0.342326 0.600
-0.075 0.367274 0.600
-0.05 0.392105 0.600
-0.025 0.416983 0.600
0 0.441911 0.600

-0.655 -0.281758 0.650
-0.65 -0.248294 0.650
-0.645 -0.224014 0.650
